song_name,testcase,FAA,FAP,OASI,TBR
Chim_Chim_Cheree_(lyrics),Perception/Chim Chim Cheree (lyrics),0.02004848110468771,-22.86400020139911,-22.987096165691987,0.06930639429301523
Chim_Chim_Cheree_(no_lyrics),Perception/Chim Chim Cheree (no lyrics),0.019894323223255128,-22.887710245967334,-22.991785087742752,0.047296231897815955
Eine_Kleine_Nachtmusik,Perception/Eine Kleine Nachtmusik,0.017413483910996064,-22.87165617237391,-22.983016299073018,0.0605046423136651
Emperor_Waltz,Perception/Emperor Waltz,0.015438653409205472,-22.899984394459665,-22.981168876595035,0.05246636220924099
Harry_Potter_Theme,Perception/Harry Potter Theme,0.02214392023909184,-22.873680557861384,-22.986588523041824,0.061977670575820175
Jingle_Bells_(lyrics),Perception/Jingle Bells (lyrics),0.02472163983213349,-22.862876960046854,-22.995888156533475,0.06855845453519543
Jingle_Bells_(no_lyrics),Perception/Jingle Bells (no lyrics),0.02226531593930403,-22.894930818033124,-22.982024013547584,0.05132887742777611
Mary_Had_a_Little_Lamb_(lyrics),Perception/Mary Had a Little Lamb (lyrics),0.021469015169962802,-22.857501980749504,-22.98048940637824,0.06438354105589635
Mary_Had_a_Little_Lamb_(no_lyrics),Perception/Mary Had a Little Lamb (no lyrics),0.011398051077048166,-22.928706699519182,-22.995639554700233,0.059362595549825065
Star_Wars_Theme,Perception/Star Wars Theme,0.015634370322622715,-22.908993221681833,-22.992480596558245,0.055711499183761455
Take_me_out_to_the_ballgame_(lyrics),Perception/Take me out to the ballgame (lyrics),0.01910886296256109,-22.881899279808685,-22.98856637621701,0.06460404453589645
Take_me_out_to_the_ballgame_(no_lyrics),Perception/Take me out to the ballgame (no lyrics),0.01995283378515822,-22.89661701350647,-22.988146267453903,0.050801077663634
