song_name,testcase,FAA,FAP,OASI,TBR
Chim_Chim_Cheree_(lyrics),Perception/Chim Chim Cheree (lyrics),2.268901960889025e-05,-23.005273159419456,-23.006059788724542,0.035851983729821985
Chim_Chim_Cheree_(no_lyrics),Perception/Chim Chim Cheree (no lyrics),-0.0013932984136602045,-23.00723600922651,-23.006669106270387,0.03400357358935688
Eine_Kleine_Nachtmusik,Perception/Eine Kleine Nachtmusik,0.00018785881820804207,-23.00240108432668,-23.001288304874215,0.035969050768562154
Emperor_Waltz,Perception/Emperor Waltz,0.0008614628627974241,-23.001936029222485,-23.003394749180096,0.04678802045915656
Harry_Potter_Theme,Perception/Harry Potter Theme,0.0005603308382831074,-23.00700553962768,-23.0092538974334,0.0346838126388393
Jingle_Bells_(lyrics),Perception/Jingle Bells (lyrics),0.00032093932233934197,-23.00145537041307,-22.99852608842423,0.03957560491696249
Jingle_Bells_(no_lyrics),Perception/Jingle Bells (no lyrics),4.319696430954423e-05,-23.004636017229863,-23.004539565753248,0.0335140810434375
Mary_Had_a_Little_Lamb_(lyrics),Perception/Mary Had a Little Lamb (lyrics),-3.249164032581575e-05,-23.0013417834969,-23.00409196469245,0.0394037444197186
Mary_Had_a_Little_Lamb_(no_lyrics),Perception/Mary Had a Little Lamb (no lyrics),-0.0009469881076817899,-23.00470767411663,-23.00478363522685,0.03543610202073762
Star_Wars_Theme,Perception/Star Wars Theme,-0.0025004406927777723,-23.00280607416528,-23.002896536816003,0.03855998189690203
Take_me_out_to_the_ballgame_(lyrics),Perception/Take me out to the ballgame (lyrics),-0.0048261614171885014,-22.999188642152554,-23.005346976470026,0.040914087249172656
Take_me_out_to_the_ballgame_(no_lyrics),Perception/Take me out to the ballgame (no lyrics),0.0005439759526204568,-23.002440692985786,-23.00227552198156,0.03728228884581125
