song_name,testcase,FAA,FAP,OASI,TBR
Chim_Chim_Cheree_(lyrics),Perception/Chim Chim Cheree (lyrics),-0.0005280209749756182,-23.017485408355185,-23.02164616902794,0.014494802487089276
Chim_Chim_Cheree_(no_lyrics),Perception/Chim Chim Cheree (no lyrics),0.0006615399263196764,-23.01812191999435,-23.021770259373188,0.015683297484678983
Eine_Kleine_Nachtmusik,Perception/Eine Kleine Nachtmusik,-4.996245234423213e-05,-23.017449308945793,-23.02171997369936,0.015371031450105209
Emperor_Waltz,Perception/Emperor Waltz,-0.0003343743816479616,-23.017268396183447,-23.021771809807433,0.01569958253172726
Harry_Potter_Theme,Perception/Harry Potter Theme,0.0030770879276467156,-23.01666728247222,-23.021720327109826,0.018775652976638624
Jingle_Bells_(lyrics),Perception/Jingle Bells (lyrics),-7.635188967114459e-05,-23.017333898817903,-23.02158995064969,0.014964068303092357
Jingle_Bells_(no_lyrics),Perception/Jingle Bells (no lyrics),0.00040499431254659157,-23.017448744269295,-23.021918313401684,0.015488720868027073
Mary_Had_a_Little_Lamb_(lyrics),Perception/Mary Had a Little Lamb (lyrics),0.0003327306094575988,-23.01764162924919,-23.021370110834486,0.015993045153016385
Mary_Had_a_Little_Lamb_(no_lyrics),Perception/Mary Had a Little Lamb (no lyrics),0.0006538452766484681,-23.017213737661322,-23.02147725010255,0.014336604487674992
Star_Wars_Theme,Perception/Star Wars Theme,-9.027867650246435e-05,-23.017401112337197,-23.021662160527725,0.01438380471885094
Take_me_out_to_the_ballgame_(lyrics),Perception/Take me out to the ballgame (lyrics),-2.356930315627892e-05,-23.017605302685453,-23.021603873795392,0.013641258379601374
Take_me_out_to_the_ballgame_(no_lyrics),Perception/Take me out to the ballgame (no lyrics),-1.3153356206885292e-05,-23.018028636464194,-23.021116156788743,0.01463620318671476
