song_name,testcase,FAA,FAP,OASI,TBR
Chim_Chim_Cheree_(lyrics),Perception/Chim Chim Cheree (lyrics),-0.009109006019489385,-22.987863554004278,-23.008199190764977,0.04317548715540349
Chim_Chim_Cheree_(no_lyrics),Perception/Chim Chim Cheree (no lyrics),-0.009304228824031924,-22.983166168782077,-23.00905374462591,0.039191903694621485
Eine_Kleine_Nachtmusik,Perception/Eine Kleine Nachtmusik,-0.0055932162380791794,-22.979485600656908,-23.005523114775222,0.04277334095078581
Emperor_Waltz,Perception/Emperor Waltz,-0.006484531041625274,-22.978895329629758,-23.007062394743475,0.04802658218245408
Harry_Potter_Theme,Perception/Harry Potter Theme,-0.006690633904852916,-22.98244102022467,-23.00480618118116,0.03845349249756359
Jingle_Bells_(lyrics),Perception/Jingle Bells (lyrics),-0.00567341371450425,-22.977505529274566,-23.006543148597906,0.04819852075837884
Jingle_Bells_(no_lyrics),Perception/Jingle Bells (no lyrics),-0.007753096320453068,-22.98259856110836,-23.003069247829565,0.045656625766678484
Mary_Had_a_Little_Lamb_(lyrics),Perception/Mary Had a Little Lamb (lyrics),-0.005816460190143147,-22.986069235589376,-23.00826310905672,0.04363289863126953
Mary_Had_a_Little_Lamb_(no_lyrics),Perception/Mary Had a Little Lamb (no lyrics),-0.01045508705077225,-22.984179123751698,-23.009488782547606,0.04977952269170893
Star_Wars_Theme,Perception/Star Wars Theme,-0.009927874400680992,-22.98237307468302,-23.007360727339556,0.04472647761247326
Take_me_out_to_the_ballgame_(lyrics),Perception/Take me out to the ballgame (lyrics),-0.006772225820252942,-22.98305572666566,-23.00802761199916,0.04056652694543056
Take_me_out_to_the_ballgame_(no_lyrics),Perception/Take me out to the ballgame (no lyrics),-0.006878134282995774,-22.97847904725547,-23.00405005315691,0.037817961978994515
